DATE,CAUR
01/01/2001,4.8
01/02/2001,4.8
01/03/2001,4.9
01/04/2001,5
01/05/2001,5.1
01/06/2001,5.2
01/07/2001,5.4
01/08/2001,5.6
01/09/2001,5.9
01/10/2001,6.1
01/11/2001,6.3
01/12/2001,6.5
01/01/2002,6.6
01/02/2002,6.7
01/03/2002,6.7
01/04/2002,6.7
01/05/2002,6.8
01/06/2002,6.8
01/07/2002,6.8
01/08/2002,6.7
01/09/2002,6.8
01/10/2002,6.8
01/11/2002,6.8
01/12/2002,6.9
01/01/2003,6.9
01/02/2003,6.9
01/03/2003,6.9
01/04/2003,7
01/05/2003,7
01/06/2003,7
01/07/2003,7
01/08/2003,7
01/09/2003,6.9
01/10/2003,6.8
01/11/2003,6.7
01/12/2003,6.6
01/01/2004,6.6
01/02/2004,6.5
01/03/2004,6.5
01/04/2004,6.4
01/05/2004,6.4
01/06/2004,6.3
01/07/2004,6.2
01/08/2004,6.1
01/09/2004,6
01/10/2004,5.9
01/11/2004,5.9
01/12/2004,5.8
01/01/2005,5.8
01/02/2005,5.7
01/03/2005,5.6
01/04/2005,5.5
01/05/2005,5.4
01/06/2005,5.3
01/07/2005,5.3
01/08/2005,5.3
01/09/2005,5.2
01/10/2005,5.2
01/11/2005,5.2
01/12/2005,5.1
01/01/2006,5
01/02/2006,5
01/03/2006,4.9
01/04/2006,4.9
01/05/2006,4.9
01/06/2006,4.9
01/07/2006,4.9
01/08/2006,4.9
01/09/2006,4.9
01/10/2006,4.9
01/11/2006,4.9
01/12/2006,4.9
01/01/2007,4.9
01/02/2007,5
01/03/2007,5
01/04/2007,5.1
01/05/2007,5.1
01/06/2007,5.2
01/07/2007,5.3
01/08/2007,5.4
01/09/2007,5.5
01/10/2007,5.7
01/11/2007,5.7
01/12/2007,5.8
01/01/2008,5.9
01/02/2008,6
01/03/2008,6.2
01/04/2008,6.4
01/05/2008,6.7
01/06/2008,7
01/07/2008,7.3
01/08/2008,7.6
01/09/2008,8
01/10/2008,8.4
01/11/2008,8.8
01/12/2008,9.3
01/01/2009,9.9
01/02/2009,10.4
01/03/2009,10.8
01/04/2009,11.2
01/05/2009,11.4
01/06/2009,11.7
01/07/2009,11.8
01/08/2009,12
01/09/2009,12.1
01/10/2009,12.3
01/11/2009,12.4
01/12/2009,12.5
01/01/2010,12.6
01/02/2010,12.6
01/03/2010,12.6
01/04/2010,12.5
01/05/2010,12.5
01/06/2010,12.4
01/07/2010,12.3
01/08/2010,12.4
01/09/2010,12.4
01/10/2010,12.4
01/11/2010,12.4
01/12/2010,12.4
01/01/2011,12.3
01/02/2011,12.2
01/03/2011,12.1
01/04/2011,12
01/05/2011,12
01/06/2011,12
01/07/2011,12
01/08/2011,11.9
01/09/2011,11.8
01/10/2011,11.6
01/11/2011,11.5
01/12/2011,11.3
01/01/2012,11.2
01/02/2012,11
01/03/2012,11
01/04/2012,10.9
01/05/2012,10.8
01/06/2012,10.7
01/07/2012,10.5
01/08/2012,10.3
01/09/2012,10.2
01/10/2012,10
01/11/2012,9.9
01/12/2012,9.8
01/01/2013,9.7
01/02/2013,9.5
01/03/2013,9.4
01/04/2013,9.3
01/05/2013,9.2
01/06/2013,9.1
01/07/2013,9
01/08/2013,8.9
01/09/2013,8.8
01/10/2013,8.6
01/11/2013,8.5
01/12/2013,8.4
01/01/2014,8.2
01/02/2014,8.1
01/03/2014,8
01/04/2014,7.8
01/05/2014,7.7
01/06/2014,7.6
01/07/2014,7.5
01/08/2014,7.4
01/09/2014,7.3
01/10/2014,7.2
01/11/2014,7.1
01/12/2014,6.9
01/01/2015,6.8
01/02/2015,6.7
01/03/2015,6.6
01/04/2015,6.5
01/05/2015,6.4
01/06/2015,6.3
01/07/2015,6.2
01/08/2015,6
01/09/2015,5.9
01/10/2015,5.8
01/11/2015,5.8
01/12/2015,5.7
01/01/2016,5.7
01/02/2016,5.6
01/03/2016,5.6
01/04/2016,5.5
01/05/2016,5.5
01/06/2016,5.5
01/07/2016,5.5
01/08/2016,5.5
01/09/2016,5.5
01/10/2016,5.5
01/11/2016,5.4
01/12/2016,5.4
01/01/2017,5.3
01/02/2017,5.2
01/03/2017,5.1
01/04/2017,5
01/05/2017,4.9
01/06/2017,4.8
01/07/2017,4.8
01/08/2017,4.7
01/09/2017,4.7
01/10/2017,4.6
01/11/2017,4.5
01/12/2017,4.5
01/01/2018,4.4
01/02/2018,4.4
01/03/2018,4.3
01/04/2018,4.3
01/05/2018,4.2
01/06/2018,4.2
01/07/2018,4.2
01/08/2018,4.2
01/09/2018,4.2
01/10/2018,4.3
01/11/2018,4.3
01/12/2018,4.3
01/01/2019,4.3
01/02/2019,4.3
01/03/2019,4.2
01/04/2019,4.1
01/05/2019,4.1
01/06/2019,4.1
01/07/2019,4.1
01/08/2019,4.1
01/09/2019,4.1
01/10/2019,4.1
01/11/2019,4.1
01/12/2019,4.2
01/01/2020,4.2
01/02/2020,4.3
01/03/2020,4.5
01/04/2020,16
01/05/2020,15.6
01/06/2020,14.1
01/07/2020,13.2
01/08/2020,12.3
01/09/2020,10.6
01/10/2020,9.8
01/11/2020,8.7
01/12/2020,9.3
01/01/2021,9