Date,ETH Open,Silver Open
01/09/2015,1.35348,14.62
01/10/2015,0.734307,14.515
01/11/2015,0.920847,15.385
01/12/2015,0.878316,14.04
01/01/2016,0.933712,14.1
01/02/2016,2.31969,14.245
01/03/2016,6.31931,14.925
01/04/2016,11.4006,15.02
01/05/2016,8.77508,17.85
01/06/2016,14.1098,16
01/07/2016,12.4381,18.79
01/08/2016,11.8948,20.51
01/09/2016,11.6705,18.7
01/10/2016,13.2032,18.87
01/11/2016,10.9578,18
01/12/2016,8.60162,16.495
01/01/2017,7.98231,16.04
01/02/2017,10.7413,17.45
01/03/2017,15.8472,18.295
01/04/2017,50.033699,18.22
01/05/2017,79.321602,17.185
01/06/2017,230.886002,17.3
01/07/2017,293.352997,16.58
01/08/2017,204.688004,16.635
01/09/2017,383.46701,17.565
01/10/2017,301.546997,16.595
01/11/2017,305.761993,16.99
01/12/2017,445.209015,16.385
01/01/2018,755.757019,17.155
01/02/2018,1119.369995,16.705
01/03/2018,856.012024,16.35
01/04/2018,397.253998,16.47
01/05/2018,670.463013,16.28
01/06/2018,578.671997,16.355
01/07/2018,455.242004,16.055
01/08/2018,433.868988,15.42
01/09/2018,283.496002,14.45
01/10/2018,233.220001,14.35
01/11/2018,197.537003,14.58
01/12/2018,113.397758,14.21
01/01/2019,133.418152,15.52
01/02/2019,107.147682,16.01
01/03/2019,136.836243,15.75
01/04/2019,141.465485,15.295
01/05/2019,162.186554,15.185
01/06/2019,268.43335,15.942
01/07/2019,290.268494,17.053
01/08/2019,218.554596,16.89
01/09/2019,172.458405,18.13
01/10/2019,180.209122,18.699
01/11/2019,183.803696,17.626
01/12/2019,152.491928,18.404
01/01/2020,129.630661,18.472
01/02/2020,180.11377,18.725
01/03/2020,219.752686,17.415
01/04/2020,133.61232,15.8
01/05/2020,207.901733,15.245
01/06/2020,230.86026,19.155
01/07/2020,226.134583,18.975
01/08/2020,345.798615,25.575
01/09/2020,434.874451,29.08
01/10/2020,360.004639,23.85
01/11/2020,386.590332,23.72
01/12/2020,615.070313,22.81
01/01/2021,737.708374,26.825
01/02/2021,1314.855225,28.41
01/03/2021,1417.151123,26.7
01/04/2021,1919.157227,24.46
01/05/2021,2772.838379,25.99
01/06/2021,2707.560547,28.08
01/07/2021,2274.397461,26.25
01/08/2021,2530.462891,25.605
01/09/2021,3430.762451,23.935
01/10/2021,3001.129395,22.185